"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 15 19:18:45 UTC 2022","Sat Oct 15 19:18:49 UTC 2022","4279","firefox","","","","","Checking filter headers",""
"passed","Sat Oct 15 19:18:25 UTC 2022","Sat Oct 15 19:18:33 UTC 2022","8309","firefox","","","","","Authorization on site using valid cred",""
"passed","Sat Oct 15 19:18:39 UTC 2022","Sat Oct 15 19:18:45 UTC 2022","6219","firefox","","","","","Check login without entering any cred",""
"passed","Sat Oct 15 19:19:16 UTC 2022","Sat Oct 15 19:19:30 UTC 2022","14472","firefox","","","","","Check sorting by filter names",""
"passed","Sat Oct 15 19:18:33 UTC 2022","Sat Oct 15 19:18:39 UTC 2022","5387","firefox","","","","","Check login without entering pass",""
